robustness,threshold,rep
0.9583333333333334,1,1
0.8333333333333334,6,1
0.75,11,1
0.6458333333333334,16,1
0.6458333333333334,21,1
0.6458333333333334,26,1
0.6458333333333334,31,1
0.6458333333333334,36,1
0.6041666666666666,41,1
0.5416666666666666,46,1
0.5,51,1
0.4583333333333333,56,1
0.3958333333333333,61,1
0.3541666666666667,66,1
0.2916666666666667,71,1
0.25,76,1
0.20833333333333334,81,1
0.14583333333333334,86,1
0.10416666666666667,91,1
0.041666666666666664,96,1
0.9583333333333334,1,2
0.7708333333333334,6,2
0.6666666666666666,11,2
0.5625,16,2
0.3125,21,2
0.1875,26,2
0.1875,31,2
0.1875,36,2
0.1875,41,2
0.1875,46,2
0.1875,51,2
0.1875,56,2
0.1875,61,2
0.1875,66,2
0.1875,71,2
0.1875,76,2
0.1875,81,2
0.14583333333333334,86,2
0.10416666666666667,91,2
0.041666666666666664,96,2
0.875,1,3
0.8333333333333334,6,3
0.7291666666666666,11,3
0.3541666666666667,16,3
0.25,21,3
0.25,26,3
0.25,31,3
0.25,36,3
0.25,41,3
0.25,46,3
0.25,51,3
0.25,56,3
0.25,61,3
0.25,66,3
0.25,71,3
0.25,76,3
0.20833333333333334,81,3
0.14583333333333334,86,3
0.10416666666666667,91,3
0.041666666666666664,96,3
0.9791666666666666,1,4
0.8125,6,4
0.6666666666666666,11,4
0.5208333333333334,16,4
0.2916666666666667,21,4
0.2916666666666667,26,4
0.2916666666666667,31,4
0.2916666666666667,36,4
0.2916666666666667,41,4
0.2916666666666667,46,4
0.2916666666666667,51,4
0.2916666666666667,56,4
0.2916666666666667,61,4
0.2916666666666667,66,4
0.2916666666666667,71,4
0.25,76,4
0.20833333333333334,81,4
0.14583333333333334,86,4
0.10416666666666667,91,4
0.041666666666666664,96,4
0.875,1,5
0.75,6,5
0.4791666666666667,11,5
0.375,16,5
0.3125,21,5
0.3125,26,5
0.3125,31,5
0.3125,36,5
0.3125,41,5
0.3125,46,5
0.3125,51,5
0.3125,56,5
0.3125,61,5
0.3125,66,5
0.2916666666666667,71,5
0.25,76,5
0.20833333333333334,81,5
0.14583333333333334,86,5
0.10416666666666667,91,5
0.041666666666666664,96,5
1,1,6
0.8125,6,6
0.5833333333333334,11,6
0.5833333333333334,16,6
0.5833333333333334,21,6
0.5833333333333334,26,6
0.5833333333333334,31,6
0.5833333333333334,36,6
0.5833333333333334,41,6
0.5416666666666666,46,6
0.5,51,6
0.4583333333333333,56,6
0.3958333333333333,61,6
0.3541666666666667,66,6
0.2916666666666667,71,6
0.25,76,6
0.20833333333333334,81,6
0.14583333333333334,86,6
0.10416666666666667,91,6
0.041666666666666664,96,6
0.8333333333333334,1,7
0.7291666666666666,6,7
0.5625,11,7
0.5208333333333334,16,7
0.4583333333333333,21,7
0.4583333333333333,26,7
0.4583333333333333,31,7
0.4583333333333333,36,7
0.4583333333333333,41,7
0.4583333333333333,46,7
0.4583333333333333,51,7
0.4583333333333333,56,7
0.3958333333333333,61,7
0.3541666666666667,66,7
0.2916666666666667,71,7
0.25,76,7
0.20833333333333334,81,7
0.14583333333333334,86,7
0.10416666666666667,91,7
0.041666666666666664,96,7
1,1,8
0.8541666666666666,6,8
0.7708333333333334,11,8
0.5833333333333334,16,8
0.3333333333333333,21,8
0.3333333333333333,26,8
0.3333333333333333,31,8
0.3333333333333333,36,8
0.3333333333333333,41,8
0.3333333333333333,46,8
0.3333333333333333,51,8
0.3333333333333333,56,8
0.3333333333333333,61,8
0.3333333333333333,66,8
0.2916666666666667,71,8
0.25,76,8
0.20833333333333334,81,8
0.14583333333333334,86,8
0.10416666666666667,91,8
0.041666666666666664,96,8
0.9791666666666666,1,9
0.8333333333333334,6,9
0.6666666666666666,11,9
0.5,16,9
0.4583333333333333,21,9
0.4583333333333333,26,9
0.4583333333333333,31,9
0.4583333333333333,36,9
0.4583333333333333,41,9
0.4583333333333333,46,9
0.4583333333333333,51,9
0.4583333333333333,56,9
0.3958333333333333,61,9
0.3541666666666667,66,9
0.2916666666666667,71,9
0.25,76,9
0.20833333333333334,81,9
0.14583333333333334,86,9
0.10416666666666667,91,9
0.041666666666666664,96,9
0.875,1,10
0.625,6,10
0.4583333333333333,11,10
0.3541666666666667,16,10
0.22916666666666666,21,10
0.16666666666666666,26,10
0.16666666666666666,31,10
0.16666666666666666,36,10
0.16666666666666666,41,10
0.16666666666666666,46,10
0.16666666666666666,51,10
0.16666666666666666,56,10
0.16666666666666666,61,10
0.16666666666666666,66,10
0.16666666666666666,71,10
0.16666666666666666,76,10
0.16666666666666666,81,10
0.14583333333333334,86,10
0.10416666666666667,91,10
0.041666666666666664,96,10
